                        Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.09,-.20,-.17,-.09,-.14,-.22,-.21,-.17,-.16,***,***,-.11,-.15,-.19
1881,-.19,-.13,.04,.06,.07,-.18,.01,-.02,-.14,-.21,-.17,-.06,-.08,-.09,-.16,.06,-.06,-.17
1882,.18,.15,.05,-.15,-.14,-.22,-.15,-.06,-.14,-.23,-.15,-.35,-.10,-.08,.09,-.08,-.14,-.17
1883,-.28,-.36,-.12,-.17,-.17,-.07,-.06,-.13,-.20,-.10,-.22,-.10,-.16,-.18,-.33,-.15,-.08,-.17
1884,-.12,-.07,-.35,-.39,-.34,-.35,-.31,-.26,-.26,-.24,-.32,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.32,-.25,-.40,-.44,-.43,-.33,-.30,-.27,-.22,-.23,-.09,-.32,-.34,-.40,-.36,-.35,-.24
1886,-.43,-.49,-.42,-.27,-.23,-.33,-.17,-.30,-.23,-.27,-.26,-.24,-.30,-.29,-.34,-.31,-.27,-.25
1887,-.71,-.56,-.35,-.33,-.29,-.23,-.25,-.34,-.25,-.34,-.25,-.32,-.35,-.34,-.50,-.32,-.27,-.28
1888,-.33,-.35,-.40,-.19,-.21,-.16,-.10,-.14,-.11,.02,.04,-.03,-.16,-.19,-.33,-.27,-.13,-.02
1889,-.07,.18,.06,.10,.00,-.09,-.07,-.20,-.23,-.25,-.33,-.28,-.10,-.08,.02,.06,-.12,-.27
1890,-.41,-.45,-.40,-.29,-.39,-.24,-.28,-.39,-.36,-.24,-.43,-.30,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.33,-.46,-.18,-.26,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.36,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.41,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.26,-.34,-.25,-.14,-.24,-.22,-.18,-.18,-.31,-.31,-.32,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.22,-.44,-.30,-.40,-.24,-.23,-.28,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.20,-.16,-.16,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.26,-.17,-.13
1896,-.21,-.12,-.26,-.29,-.15,-.10,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.11,-.15,-.23,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.19,-.11,-.09,-.12,-.05,-.07,-.13
1898,-.01,-.28,-.50,-.29,-.29,-.18,-.22,-.25,-.21,-.34,-.37,-.22,-.26,-.26,-.16,-.36,-.22,-.31
1899,-.15,-.38,-.35,-.19,-.23,-.31,-.15,-.08,-.05,-.04,.13,-.25,-.17,-.17,-.25,-.26,-.18,.02
